"","year","TL","sd","spp"
"535",1929,3.84836388989394,0.466506948457938,"LAAL"
"536",1930,3.84581703966585,0.472953348686857,"LAAL"
"537",1931,3.8439881050552,0.476973909201209,"LAAL"
"538",1932,3.84658371387817,0.475427130208545,"LAAL"
"539",1933,3.84939376549244,0.473617115926597,"LAAL"
"540",1934,3.84972639967718,0.472084739447777,"LAAL"
"541",1935,3.84990994820461,0.470965681768569,"LAAL"
"542",1936,3.85276287316231,0.466361485801325,"LAAL"
"543",1937,3.85656504179429,0.46024914259018,"LAAL"
"544",1938,3.86245887978795,0.451182168126926,"LAAL"
"545",1939,3.86698721950682,0.447496080716712,"LAAL"
"546",1940,3.87405917561696,0.437820189787395,"LAAL"
"547",1941,3.88102691359819,0.428861747335517,"LAAL"
"548",1942,3.88969295698877,0.417035898108963,"LAAL"
"549",1943,3.89972655995008,0.4016669167485,"LAAL"
"550",1944,3.90465555522455,0.392001331124171,"LAAL"
"551",1945,3.91236359150128,0.377645092244588,"LAAL"
"552",1946,3.91493723401909,0.368799151502862,"LAAL"
"553",1947,3.91651057913843,0.360956601895587,"LAAL"
"554",1948,3.91595611143576,0.353955723420101,"LAAL"
"555",1949,3.90666978312399,0.356006307497345,"LAAL"
"556",1950,3.89652169097398,0.357866582051264,"LAAL"
"557",1951,3.8963420967342,0.352315160469598,"LAAL"
"558",1952,3.8967505760648,0.345516900583931,"LAAL"
"559",1953,3.89797940482216,0.336014296659251,"LAAL"
"560",1954,3.89820382838619,0.327011801367975,"LAAL"
"561",1955,3.89452977298176,0.321888530375348,"LAAL"
"562",1956,3.89387846808777,0.314655930560856,"LAAL"
"563",1957,3.89413769265066,0.304988343714703,"LAAL"
"564",1958,3.89374321348623,0.295945626710438,"LAAL"
"565",1959,3.89095302058611,0.29073604918248,"LAAL"
"566",1960,3.88831544346089,0.28471439157656,"LAAL"
"567",1961,3.8878518579298,0.275271211949764,"LAAL"
"568",1962,3.8871708030964,0.267601023375842,"LAAL"
"569",1963,3.88631010490894,0.262312816591479,"LAAL"
"570",1964,3.88526553695739,0.255575661508899,"LAAL"
"571",1965,3.88609673157943,0.246610696769638,"LAAL"
"572",1966,3.88623592490353,0.239761854209394,"LAAL"
"573",1967,3.88708773468447,0.230389790231739,"LAAL"
"574",1968,3.88873959796596,0.223059704038277,"LAAL"
"575",1969,3.89138319571917,0.212624480707323,"LAAL"
"576",1970,3.8925878114411,0.204964294830196,"LAAL"
"577",1971,3.89356432155002,0.195645378968734,"LAAL"
"578",1972,3.8934169676125,0.191857883471196,"LAAL"
"579",1973,3.8949772130028,0.182547307694266,"LAAL"
"580",1974,3.89742059549615,0.175252148619125,"LAAL"
"581",1975,3.89718109744653,0.169707658622525,"LAAL"
"582",1976,3.896058619549,0.166853832455112,"LAAL"
"583",1977,3.89348335080579,0.164735604992392,"LAAL"
"584",1978,3.89435165941826,0.160123250949225,"LAAL"
"585",1979,3.8931294227854,0.16087423679864,"LAAL"
"586",1980,3.89329866370575,0.159128819163242,"LAAL"
"587",1981,3.89271158904357,0.158957093299392,"LAAL"
"588",1982,3.89279523060529,0.157436321505338,"LAAL"
"589",1983,3.89201431815188,0.155672842196556,"LAAL"
"590",1984,3.89119811248043,0.15200591296852,"LAAL"
"591",1985,3.89036013122323,0.14802974637416,"LAAL"
"592",1986,3.88899953199229,0.14590709916551,"LAAL"
"593",1987,3.88825528614708,0.140985145446874,"LAAL"
"594",1988,3.88672220593868,0.136272931550741,"LAAL"
"595",1989,3.88490925797081,0.133921134037696,"LAAL"
"596",1990,3.8839877653865,0.129529497014001,"LAAL"
"597",1991,3.88175009221942,0.12774214548046,"LAAL"
"598",1992,3.87969110980602,0.124678333435239,"LAAL"
"599",1993,3.8786807056594,0.122948004882091,"LAAL"
"600",1994,3.87667304173175,0.121048207004953,"LAAL"
"601",1995,3.8745097241048,0.117260419456903,"LAAL"
"602",1996,3.87338377591168,0.111829622906132,"LAAL"
"603",1997,3.87207868871451,0.108172128575012,"LAAL"
"604",1998,3.87044221144746,0.106195889416795,"LAAL"
"605",1999,3.8688513253622,0.101517272076623,"LAAL"
"606",2000,3.86736083801625,0.0981304818918769,"LAAL"
"607",2001,3.8660305029041,0.0940364494833528,"LAAL"
"608",2002,3.86329187766335,0.0931386923027158,"LAAL"
"609",2003,3.86013714226095,0.091176016689626,"LAAL"
"610",2004,3.85777841610432,0.0891549914419594,"LAAL"
"611",2005,3.85490881405457,0.0872478900577365,"LAAL"
"612",2006,3.85235631627913,0.0864864584865885,"LAAL"
"613",2007,3.85170133861072,0.0848154227083078,"LAAL"
"614",2008,3.84858219462554,0.082430853135119,"LAAL"
"615",2009,3.84747874435864,0.0800956710167151,"LAAL"
"616",2010,3.84588306552418,0.0810606953538522,"LAAL"
"617",2011,3.84720792185032,0.080727703190473,"LAAL"
"618",2012,3.84644994698115,0.083437183655322,"LAAL"
"619",2013,3.84392429695236,0.0870475034675993,"LAAL"
"620",2014,3.84364383018589,0.0912954415465266,"LAAL"
"621",1891,4.145970825602,0.159939919631497,"BUPE"
"622",1892,4.14822428350865,0.153758385649144,"BUPE"
"623",1893,4.14968594274546,0.145973514775901,"BUPE"
"624",1894,4.14919811407233,0.142565713718851,"BUPE"
"625",1895,4.1518074894371,0.135951169526045,"BUPE"
"626",1896,4.15305004350967,0.132601636854022,"BUPE"
"627",1897,4.15616200984925,0.126008127241104,"BUPE"
"628",1898,4.15819558026504,0.120088947025594,"BUPE"
"629",1899,4.15886641445118,0.116579409008234,"BUPE"
"630",1900,4.15870805450011,0.112947177580726,"BUPE"
"631",1901,4.15932215763095,0.108879269675519,"BUPE"
"632",1902,4.16072447950491,0.104413314376028,"BUPE"
"633",1903,4.16171485974896,0.102666156232636,"BUPE"
"634",1904,4.16290088823184,0.100376225622481,"BUPE"
"635",1905,4.16507037258438,0.0959148474750275,"BUPE"
"636",1906,4.16552185258854,0.0938855697581005,"BUPE"
"637",1907,4.16600643062452,0.0912867967914233,"BUPE"
"638",1908,4.16880737479225,0.08675764745563,"BUPE"
"639",1909,4.17057170335948,0.0841742233104954,"BUPE"
"640",1910,4.17351992455151,0.0806592715133796,"BUPE"
"641",1911,4.17451251049291,0.0787904413159444,"BUPE"
"642",1912,4.17606955145366,0.0767842223842692,"BUPE"
"643",1913,4.17839783333372,0.0730667462268437,"BUPE"
"644",1914,4.18093317193741,0.0708309167812313,"BUPE"
"645",1915,4.18372780121229,0.0681795909336351,"BUPE"
"646",1916,4.18625160626302,0.0660211116342344,"BUPE"
"647",1917,4.18744978600178,0.0636756609389177,"BUPE"
"648",1918,4.18961451112162,0.0610906595536349,"BUPE"
"649",1919,4.19224141122854,0.0590913636311559,"BUPE"
"650",1920,4.19516310293642,0.0559554293676268,"BUPE"
